review,rating,date
"Cepet bgt nyampenya, barang real pict..bahan ny jg bagus lentur getoh.. 🥰🥰",bintang 5,5 bulan lalu
"Bagus banget! Jahitan rapi, nyaman dipakai🙌🏻",bintang 5,5 bulan lalu
"Bentuk dan ukuran: 40
Aroma: Jahitan sepatu nya bagus & rapi tpi syg dasar kulit sepatu nya tipis gk tebal.
Daya tahan pakai: Semoga sepatu nya awet y kk  ??? Klo awe...",bintang 4,2 bulan lalu
"Bagus bagus aja sih.
Ku kira berat ternyata ringan, sempet kaget.
UK 40 pas pake banget di aku, tadinya sempet pgn tuker ukuran, ternyata 40 udh paling gede, emang kaki i...",bintang 5,5 bulan lalu
"Bagus cakep bentuk ga aneh jg, cuma warnanya cream lbh ke coklat gt mirip khaki, ga ky yg di gambar kn creamnya keputih tulang gt, tp cakep kok, ukuran 40 Mash sisa dpnny...",bintang 5,5 bulan lalu
"Yeyyy sdh sampaii,  bahan nya bagus banget, buat kalian yg mau co aku saranin ga usah naikin size ya, ini ukuran nya normal kok seperti biasanya, aku biasa pake 37 dan in...",bintang 5,3 bulan lalu
"ini kedua kalinya aku beli sepatu di pinkeey emang se bagus itu, walaupun kardus nya penyok tapi sepatu tetep aman amanah terus yaa min🙏🏻",bintang 5,7 bulan lalu
"Woowwww so good.. 
Pas ukuran nya gakk perlu up, normal size.. 
Bagus boots nya wooyyy bahan lembut nyaman. Trima kasihh.",bintang 5,3 bulan lalu
"Warna: Hitam
Bentuk dan ukuran: 39
Bagus, sesuai dengan di foto juga livenya",bintang 5,5 bulan lalu
Bagus sesuai gambar ringan d pk nya ga terlalu tinggi suka banget sip dech,bintang 5,4 bulan lalu
"Bentuk dan ukuran: Sesuai
Aroma: Wangi
Daya tahan pakai: Awet
Warna: Sesuai pesanan",bintang 5,5 bulan lalu
"Bagus banget, sempat takut krn kakiku lebar tp alhamdulillah pas dan nyaman",bintang 5,4 bulan lalu
"Baguss, sesuai sama ekspektasi. Ukuran kaki ku biasa pake 38, ini pas di 39",bintang 5,5 bulan lalu
"Bgs sepatu nya tp kemasan nya krg aman krn pas dtg kardus nya sll penyok"" Gt ini orderan yg ke 2x nya",bintang 5,3 minggu lalu
"Sedih bgt baru dipake berapa jam keluar, pas pulang baru sadar ini udah gaada😭 padahal ga ngelakuin aktivitas berat. Cuma jalan ringan aja😭",bintang 3,
Bagus pas banget sesuai harga,bintang 5,2 bulan lalu
"Ukurannya pas, bahasa mengkilap, warna sesuai, di dalamnya lembut",bintang 5,2 bulan lalu
"kereeeennn,😍 lembut kainnya dan nyaman di kaki ukuranx pas. so... tgu apa lagi..buruan beli.pengirimannya cepet banget nyampex.thx seller.kurirnya sdh langganan jadi sgl...",bintang 5,7 bulan lalu
"Bagus banget sih dan pas di kaki anakku
Cuma syg dikemas dlm plastik yg ada noda kuningnya
Lalu noda kuningnya ngenain sepatunya
Udah berusaha aku bersihin gag bs ilang
B...",bintang 3,2 bulan lalu
Bagus sesuai deskripsi ini saya pakai untuk ngajar pas,bintang 5,3 bulan lalu
"ukuran pas, sesuai dengan deskripsi.. suka banget",bintang 5,3 minggu lalu
Sepatu size 38 bagus banget saat dipakek dan pas dikaki.. rekomended poll.. thanks seller,bintang 5,5 bulan lalu
Pesanan sudah datang. Real pict.kulit lentur.nyaman di pakai,bintang 5,7 bulan lalu
Bagus. Putriku suka bgt. Kulitnya lembut nyaman dipakai,bintang 5,5 bulan lalu
"Alhamdulilah ..enak dipakai..kereeen
Kak gimana cara jadi affilite sepatu ini/ ikut.jualan produk ini di tik tok tanpa stok barang",bintang 5,7 bulan lalu
"sudah beli ke 2X nya, puas dan tidak pernah mengecewakan, sangat recommend barang cakep harga murah 🔥",bintang 5,7 bulan lalu
"Realpict, nyaman, ringan,, dpt harga diskon jd 107rb",bintang 5,6 bulan lalu
"Maaf lupa kasih ulasan sesuai dengan pesanan pengiriman jga cepat bagus banget pas ukurannya
Warna: Hitam",bintang 5,7 bulan lalu
"keren bagus sepatunya
Bentuk dan ukuran: pas 36 untuk bb 43",bintang 5,3 bulan lalu
Bagus banget...lentur pokoknya dpakek enak banget 🥰🤗,bintang 5,7 bulan lalu
"Bentuk dan ukuran: Pas
Realpict bgt sumpahh,suka banget ini ada tas plastik juga trus ada yg buat ganjel biar bentuk sepatunya tetep terjaga. Semoga awet ya soalnya senen...",bintang 5,4 bulan lalu
Bagus. Walopun ada kyak goresan kuning. Its okey.,bintang 5,6 bulan lalu
"Barang nya bagus banget,, 🫰 ABG kurir nya juga baik,,semoga makin laris ,,",bintang 5,4 bulan lalu
Bagus banget looh sepatunya!!!!! Dalemnya lembut bgt. Bahannya juga bagus,bintang 5,
sepatu murah tapi ga murahan.. bagus juga nyman guyysss..😍😍😍,bintang 5,5 bulan lalu
Alhamdulillah brang SDH mendarat walwpun kardusnya penyok tp Alhamdulillah dalemnya aman bagus trmksih buat toko nya smga sll amanah n kurir nya baik ramah mksih jg buat...,bintang 5,1 minggu lalu
"nyaman di pakenya
enteng 
gak Akan nyesel beli nya
love it",bintang 5,
Bagus banget pokonya pengiriman cepat packing aman 🥰🥰🥰🥰,bintang 5,1 bulan lalu
Real asly bagus angt tp sayng g ada no up jd cm pas aja d kaki aq,bintang 5,4 bulan lalu
"sudah sampai dan sesuai pesanan, tinggal dicoba saja semoga pas dan cocok. ditunggu lagi variasi warna lainnya ya min, terima kasih 😉",bintang 5,
"Asliii, cakep banget sepatu bootx gays🥰😘dan untuk kurirx, terima kasih sdh antar paketk🙏",bintang 5,6 bulan lalu
"Bagus banget recomend dpt hrga discn
Orderan ke2xny",bintang 5,7 bulan lalu
Sumpah secakep ini ampuun dah...keren bangeettt....😍👍 Syukaaaa 👍👍👍👍👍 dikemas rapih dan kang paketnya pengertian baik hati..tengkiuuu😍👍,bintang 5,3 bulan lalu
Bagus ssiii tapi sayang gk muat sy..akhrny sy ksh ank sy de..thx seller,bintang 5,6 bulan lalu
"Ma syaa Allah tidk sia2 beli 
Selain kuakitasnya bagus harganya juga sanaht membantu🥰",bintang 5,3 minggu lalu
"Alhamdulillah Paket Sudah Mendarat Dgn Slmt, Real Pict. Spatuny Ringan, Tapak Tahu Jd gk Buat Capek, bhn Kulit yg gk terlalu lembut & gk kasar juga, untuk harga segin...",bintang 4,4 bulan lalu
"ukuran pas sesuai deskripsi, jahitan bagus, bahan kulit agak tipis tapi nyaman dipakai. semoga awet ya. makasih seller semoga semakin sukses",bintang 5,
Masyallah bagus banget realpict gak nyesel beli di roko ini makasih sellwr,bintang 5,5 bulan lalu
